         11977072 function calls (11799082 primitive calls) in 155.625 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.151    0.151 _dispatcher.py:1(<module>)
        1    0.000    0.000    0.150    0.150 _multicomp.py:1(<module>)
        2    0.000    0.000    0.147    0.073 migration.py:1(<module>)
        1    0.000    0.000    0.147    0.147 _qmc.py:1(<module>)
    21461    0.009    0.000    0.146    0.000 __init__.py:1037(locate_file)
     1828    0.141    0.000    0.145    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       11    0.000    0.000    0.145    0.013 _typing.py:1(<module>)
        1    0.001    0.001    0.143    0.143 client.py:150(_fetch)
        1    0.000    0.000    0.142    0.142 client.py:169(_get_config)
        1    0.000    0.000    0.141    0.141 figure.py:1(<module>)
        1    0.000    0.000    0.139    0.139 _interpolate.py:1(<module>)
        3    0.000    0.000    0.139    0.046 ssl_.py:363(ssl_wrap_socket)
      766    0.002    0.000    0.139    0.000 _compiler.py:743(compile)
8666/8604    0.028    0.000    0.133    0.000 {built-in method numpy.asarray}
      432    0.001    0.000    0.133    0.000 _array_api.py:857(_asarray_with_order)
      305    0.002    0.000    0.131    0.000 _memmapping_reducer.py:428(__call__)
     1724    0.001    0.000    0.130    0.000 __init__.py:287(compile)
        2    0.000    0.000    0.126    0.063 debugger.py:1(<module>)
     8712    0.069    0.000    0.126    0.000 inspect.py:891(cleandoc)
        1    0.000    0.000    0.126    0.126 hashlib.py:1(<module>)
      120    0.000    0.000    0.124    0.001 artist.py:1834(kwdoc)
        2    0.000    0.000    0.122    0.061 __config__.py:1(<module>)
 2081/146    0.003    0.000    0.121    0.001 _generate_schema.py:717(generate_schema)
        2    0.000    0.000    0.121    0.061 assessment.py:1(<module>)
     3445    0.011    0.000    0.121    0.000 _docscrape.py:201(_read_to_next_section)
 3363/146    0.006    0.000    0.120    0.001 _generate_schema.py:1017(_generate_schema_inner)
        1    0.000    0.000    0.119    0.119 dataset_source_registry.py:1(<module>)
     3591    0.004    0.000    0.118    0.000 _docscrape.py:212(_read_sections)
  539/146    0.003    0.000    0.118    0.001 _generate_schema.py:756(_model_schema)
       54    0.001    0.000    0.116    0.002 numpy_pickle.py:474(dump)
        3    0.000    0.000    0.115    0.038 validation.py:1170(check_X_y)
        2    0.000    0.000    0.113    0.056 params.py:1(<module>)
        1    0.000    0.000    0.112    0.112 _fitpack_py.py:1(<module>)
